,City,Cloudiness %,Country,Date,Humidity,Lat,Lon,Max Temperature (C),Wind Speed
317,Atar,0,MR,1532562587,24,20.52,-13.05,27.49,2.57
318,Sharon,1,US,1532560560,57,41.23,-80.49,27.0,3.6
319,Havoysund,75,NO,1532559000,93,71.0,24.66,12.0,1.5
320,Arlit,24,NE,1532562588,42,18.74,7.39,30.49,5.52
321,Kamenka,56,RU,1532562588,68,53.19,44.05,18.94,4.02
322,Carahue,8,CL,1532562589,100,-38.71,-73.16,3.59,1.67
323,Vagur,20,FO,1532562589,96,61.47,-6.81,12.09,5.57
324,Przhevalskoye,80,RU,1532562589,98,55.51,31.85,17.49,1.52
325,Isabela,76,PH,1532562327,88,10.2,122.99,25.89,2.12
326,Ngaoundere,88,CM,1532562590,97,7.32,13.58,18.34,1.17
327,Odemira,0,PT,1532562590,92,37.6,-8.64,16.09,3.67
328,Kirzhach,24,RU,1532562591,72,56.16,38.87,18.09,4.37
329,Kidderminster,0,GB,1532560800,64,52.39,-2.25,20.0,2.6
330,Buraydah,0,SA,1532559600,27,26.33,43.97,30.0,3.1
331,Alcaniz,0,ES,1532562591,75,41.05,-0.13,16.64,1.62
332,Mangai,8,CD,1532562592,62,-4.07,19.59,21.69,1.32
333,Dubai,0,AE,1532559600,49,25.27,55.3,33.0,3.6
334,Quatre Cocos,40,MU,1532559600,68,-20.21,57.76,22.0,5.7
335,Grindavik,75,IS,1532559600,93,63.84,-22.43,11.0,5.7
336,Kallaste,40,EE,1532559000,77,58.66,27.16,19.0,3.37
337,Maragogi,88,BR,1532562024,92,-9.01,-35.22,23.19,3.47
338,Touros,92,BR,1532562593,84,-5.2,-35.46,25.09,6.62
339,Obo,92,CF,1532562593,93,5.39,26.49,21.69,1.67
340,General Pico,0,AR,1532562594,82,-35.66,-63.75,5.84,4.77
341,Ponta Delgada,40,PT,1532561400,88,37.73,-25.67,20.0,6.2
342,Santa Fe,68,AR,1532562595,93,-31.62,-60.7,9.49,4.22
343,Riga,0,LV,1532560800,93,56.95,24.11,19.0,2.32
344,Muros,75,ES,1532561400,100,42.77,-9.06,18.0,2.92
345,Mohanur,44,IN,1532562596,74,11.06,78.14,25.49,6.62
346,Santa Isabel do Rio Negro,36,BR,1532562596,83,-0.41,-65.02,25.84,2.22
347,Takoradi,92,GH,1532562596,100,4.89,-1.75,23.89,5.72
348,Kosh-Agach,8,RU,1532562596,97,49.99,88.66,2.24,1.77
349,Sharan,8,AF,1532562597,81,33.15,68.78,9.29,1.12
350,Inhambane,0,MZ,1532562597,100,-23.87,35.38,16.94,2.52
351,Beisfjord,92,NO,1532560800,100,68.38,17.6,12.0,0.5
352,Havelock,20,US,1532560320,94,34.88,-76.9,28.0,3.6
353,Olavarria,80,AR,1532562598,93,-36.89,-60.32,6.29,3.67
354,Kralendijk,20,BQ,1532559300,78,12.15,-68.27,28.0,7.7
355,Hauterive,0,FR,1532561400,72,46.09,3.45,19.0,1.17
356,Iroquois Falls,40,CA,1532559600,57,48.76,-80.69,25.0,3.6
357,Dudinka,88,RU,1532562599,80,69.41,86.18,9.79,6.87
358,Chinsali,0,ZM,1532562599,70,-10.55,32.07,12.54,4.52
359,Kibaya,75,RW,1532561400,52,-2.2,30.56,20.0,1.22
360,Ndola,8,ZM,1532562600,86,-12.97,28.64,10.89,3.72
361,Sao Joao da Barra,0,BR,1532559600,88,-21.64,-41.05,20.0,2.87
362,Soanierana Ivongo,92,MG,1532562600,100,-16.92,49.59,20.59,5.57
363,Mmabatho,0,ZA,1532559600,52,-25.85,25.61,7.0,1.5
364,Pervomayskoye,44,RU,1532562601,84,57.07,86.23,13.09,1.67
365,General Roca,0,AR,1532559600,80,-39.03,-67.58,4.0,2.42
366,Loxstedt,64,DE,1532560800,88,53.47,8.65,23.0,2.6
367,Eastbourne,0,ZA,1532562602,68,-27.81,30.13,-0.92,0.77
368,Buta,48,CD,1532562602,90,2.79,24.73,22.24,1.07
369,Sipoo,0,FI,1532560800,87,60.38,25.27,16.0,0.5
370,Novodugino,24,RU,1532562603,96,55.63,34.3,17.04,1.67
371,Tocopilla,56,CL,1532562603,91,-22.09,-70.2,15.14,1.17
372,Shalakusha,36,RU,1532562603,83,62.23,40.26,15.19,1.77
373,Porto Walter,0,BR,1532562603,39,-8.27,-72.74,27.59,1.62
374,Gao,48,ML,1532562604,72,16.28,-0.04,27.19,7.32
375,Gambela,88,ET,1532562604,85,8.25,34.59,18.44,0.67
376,Amapa,40,HN,1532559600,89,15.09,-87.97,30.0,5.7
377,Anaco,80,VE,1532562604,99,9.43,-64.46,21.64,1.07
378,Lubao,75,PH,1532559600,94,14.94,120.6,27.0,2.1
379,Pachino,0,IT,1532562605,90,36.72,15.09,25.84,3.62
380,Brae,44,GB,1532560800,71,60.4,-1.35,14.0,5.7
381,Barcelos,75,PT,1532561400,100,41.53,-8.62,18.0,3.1
382,Jabinyanah,0,TN,1532559600,65,35.03,10.91,26.0,3.27
383,Tahoua,48,NE,1532562606,79,14.89,5.26,24.09,3.02
384,Mayumba,68,GA,1532562606,96,-3.44,10.65,20.64,1.87
385,Trinidad,92,UY,1532562607,96,-33.52,-56.9,11.84,5.72
386,Bambui,92,CM,1532562607,98,6.01,10.23,16.19,0.72
387,Niquelandia,0,BR,1532562607,44,-14.47,-48.46,21.34,4.62
388,Grand-Lahou,92,CI,1532562608,86,5.24,-5.0,24.34,4.42
389,Buri,24,BR,1532562608,94,-23.8,-48.6,15.29,2.67
390,Presidencia Roque Saenz Pena,0,AR,1532562608,83,-26.79,-60.44,7.69,3.02
391,Tiznit,0,MA,1532562609,94,29.7,-9.73,19.44,1.97
392,Vyazma,8,RU,1532562609,95,55.21,34.3,14.04,1.17
393,Zapolyarnyy,8,RU,1532560800,87,69.43,30.82,16.0,2.6
394,Albion,75,US,1532560500,69,41.69,-98.0,30.0,1.5
395,Hobyo,20,SO,1532562610,74,5.35,48.53,23.84,9.07
396,San Juan,40,PH,1532559600,100,14.6,121.03,27.0,2.1
397,Rushden,8,GB,1532560800,88,52.29,-0.6,18.0,3.1
398,Suamico,1,US,1532561700,61,44.63,-88.04,27.0,2.1
399,Kargasok,32,RU,1532562612,82,59.06,80.87,17.94,2.12
400,Marystown,0,CA,1532562612,86,47.17,-55.16,16.54,6.07
401,Matadi,20,CD,1532562612,100,-5.83,13.46,18.69,2.32
402,Puerto del Rosario,0,ES,1532561400,78,28.5,-13.86,22.0,8.2
403,Forio,40,IT,1532560800,65,40.73,13.86,25.0,0.5
404,La Sarre,0,CA,1532562613,60,48.8,-79.2,23.94,2.82
405,Charlottetown,20,CA,1532559600,74,46.23,-63.13,26.0,5.7
406,Kristiansund,0,NO,1532560800,93,63.12,7.73,13.0,2.1
407,Weligama,76,LK,1532562614,93,5.97,80.42,26.04,7.57
408,Bowling Green,40,US,1532560500,43,36.99,-86.44,31.0,1.22
409,Khor,92,RU,1532562614,100,47.88,134.96,19.44,3.57
410,San Rafael,0,AR,1532562615,58,-34.61,-68.33,-0.47,2.12
411,Road Town,40,VG,1532559600,83,18.42,-64.62,29.0,4.1
412,Westport,56,IE,1532562616,79,53.8,-9.52,16.94,7.32
413,Joao Camara,24,BR,1532562616,67,-5.54,-35.82,25.59,6.02
414,Moussoro,32,TD,1532562616,67,13.64,16.49,26.89,5.87
415,Camacha,75,PT,1532561400,78,33.08,-16.33,23.0,3.1
416,Mao,20,DO,1532559600,62,19.55,-71.08,31.0,8.2
417,Fort-Shevchenko,8,KZ,1532562617,67,44.51,50.26,28.04,8.72
418,Teguldet,44,RU,1532562617,66,57.31,88.17,12.59,2.07
419,Delijan,0,IR,1532562618,31,33.99,50.69,19.99,1.67
420,Ouesso,64,CG,1532562618,86,1.61,16.05,23.94,1.22
421,Taltal,12,CL,1532562618,85,-25.41,-70.49,11.39,1.02
422,Ajaccio,0,FR,1532561400,83,41.93,8.74,24.0,2.1
423,Madaba,0,JO,1532559600,40,31.72,35.79,27.0,1.27
424,Salalah,90,OM,1532559000,88,17.01,54.1,26.0,2.6
425,Luau,0,CD,1532562619,45,-10.7,22.23,12.74,2.52
426,Camapua,24,BR,1532562619,52,-19.53,-54.04,21.04,1.92
427,Taoudenni,0,ML,1532562620,13,22.68,-3.98,29.29,3.07
428,Gaspe,5,CA,1532559600,45,48.83,-64.48,30.0,5.7
429,Parabel,8,RU,1532562620,89,58.71,81.5,17.04,3.02
430,Wajir,88,KE,1532562620,57,1.75,40.07,24.29,5.82
431,Kpandu,92,GH,1532562621,95,7.0,0.29,22.69,3.32
432,Mitikas,20,GR,1532559000,94,38.67,20.95,23.0,4.1
433,Quilmana,44,PE,1532562621,89,-12.95,-76.38,16.29,1.27
434,Pervoye Maya,0,KG,1532562622,71,40.63,73.68,4.74,0.22
435,Panaba,12,MX,1532562622,98,21.28,-88.27,24.64,2.27
436,Bielsk Podlaski,36,PL,1532562603,89,52.77,23.19,19.54,1.57
437,Igarka,44,RU,1532562622,92,67.47,86.57,12.44,9.77
438,Nordhorn,24,DE,1532560800,68,52.44,7.07,22.0,3.1
439,Micheweni,44,TZ,1532562623,98,-4.97,39.83,25.24,9.32
440,Itacurubi del Rosario,76,PY,1532562623,90,-24.5,-56.68,14.39,2.57
441,Lichinga,0,MZ,1532562623,88,-13.3,35.25,7.49,1.97
442,Sechura,0,PE,1532562623,81,-5.56,-80.82,21.04,5.57
443,Salinopolis,68,BR,1532562624,95,-0.61,-47.36,27.34,7.07
444,Tignere,64,CM,1532562624,91,7.37,12.65,17.44,1.17
445,Padang,0,ID,1532562624,100,-0.92,100.36,27.44,1.77
446,Hosingen,56,LU,1532560800,44,50.01,6.09,26.0,4.1
447,Rebricea,40,RO,1532561400,100,46.87,27.56,18.0,3.1
448,Iralaya,92,HN,1532562625,80,15.0,-83.23,28.34,3.42
449,Krosno,0,PL,1532561400,93,49.69,21.77,18.0,3.1
450,Zamora,0,ES,1532561400,59,41.51,-5.74,17.0,1.0
451,Sibut,88,CF,1532562626,88,5.73,19.09,22.89,3.02
452,Muyezerskiy,0,RU,1532562626,66,63.93,31.65,19.29,2.32
453,Nkayi,0,CG,1532562627,93,-4.18,13.29,18.54,1.22
454,Jurm,0,AF,1532562627,92,36.86,70.83,4.04,0.77
455,Kagoro,92,NG,1532562627,97,9.6,8.38,20.04,2.02
456,Chitral,0,PK,1532562627,56,35.85,71.79,5.59,0.52
457,Sakaraha,0,MG,1532562627,84,-22.91,44.53,8.79,1.32
458,Lola,92,GN,1532562628,97,7.8,-8.53,19.34,2.07
459,Peruibe,88,BR,1532562628,97,-24.32,-47.0,20.19,4.57
460,Baykalovo,20,RU,1532559600,77,64.58,40.26,20.0,3.0
461,Florida,75,CU,1532559000,88,21.53,-78.23,26.0,2.6
462,Agadez,92,NE,1532562629,55,16.97,7.99,29.19,4.77
463,Oranjestad,20,AW,1532559600,78,12.52,-70.03,28.0,10.3
464,Bekovo,88,RU,1532562629,74,52.46,43.7,19.39,4.47
465,Marakkanam,32,IN,1532562630,100,12.2,79.95,24.89,2.07
466,Kasongo-Lunda,0,CD,1532562630,77,-6.48,16.82,15.14,1.22
467,Gobabis,0,NA,1532562630,70,-22.45,18.97,5.59,2.62
468,Trzebiatow,0,PL,1532561400,88,54.06,15.26,18.0,2.1
469,Speedway,0,US,1532562900,54,39.8,-86.27,29.0,2.6
470,Igrim,64,RU,1532562631,67,63.19,64.42,21.64,0.77
471,Clarence Town,0,AU,1532559600,50,-32.59,151.78,12.0,5.7
472,Mwinilunga,0,ZM,1532562631,65,-11.73,24.43,9.94,1.62
473,Torres,92,BR,1532562631,99,-29.34,-49.73,15.34,4.27
474,Alexandria,20,US,1532560500,32,31.31,-92.44,35.0,2.6
475,Alta Floresta,0,BR,1532562632,29,-9.87,-56.08,26.74,1.97
476,Oranjemund,0,ZA,1532562632,97,-28.55,16.43,15.19,8.37
477,Ribas do Rio Pardo,80,BR,1532562633,47,-20.45,-53.76,23.39,0.97
478,Ise,75,JP,1532559600,74,34.5,136.72,29.0,3.1
479,Linhares,68,BR,1532562633,87,-19.38,-40.06,19.44,2.67
480,Puerto Carreno,40,CO,1532559600,88,6.19,-67.49,25.0,2.6
481,Shache,76,CN,1532562634,49,38.42,77.24,25.69,3.02
482,Lannion,0,FR,1532561400,87,48.73,-3.46,16.0,1.0
483,Veraval,0,FR,1532561400,72,49.65,0.71,19.0,2.6
484,Cojutepeque,20,SV,1532559000,70,13.72,-88.93,31.0,2.1
485,Sistranda,40,NO,1532559000,93,63.73,8.83,12.0,1.0
486,Una,88,BR,1532562635,100,-15.29,-39.07,22.04,3.42
487,Sept-Iles,75,CA,1532559600,61,50.2,-66.38,25.0,4.1
488,Kichmengskiy Gorodok,32,RU,1532562635,81,59.99,45.81,16.54,1.32
489,Kiknur,24,RU,1532562636,81,57.3,47.21,16.89,1.57
490,Kijini,56,TZ,1532562636,91,-5.85,39.32,25.19,8.92
491,Aksarka,0,RU,1532562636,65,66.56,67.8,12.09,4.47
492,Murmashi,20,RU,1532559600,68,68.82,32.82,19.0,3.0
493,Mangrol,92,IN,1532562637,95,25.33,76.51,24.94,4.22
494,Tekeli,0,KZ,1532562637,73,44.86,78.76,7.84,0.97
495,Boyuibe,8,BO,1532559600,41,-20.43,-63.28,14.0,3.1
496,Banyo,56,CM,1532562638,91,6.75,11.81,16.84,1.17
497,Santa Marta,75,CO,1532559600,70,11.24,-74.21,30.0,3.1
498,Upala,75,CR,1532559600,74,10.9,-85.02,28.0,3.1
499,Lubango,0,AO,1532562639,73,-14.92,13.49,9.99,1.17
500,Saint-Francois,0,FR,1532561400,82,46.42,3.91,19.0,0.5
501,Novo Oriente,20,BR,1532562639,51,-5.54,-40.77,24.24,2.77
502,Lodja,0,CD,1532562639,53,-3.52,23.6,21.59,1.52
503,Myskhako,0,RU,1532559600,77,44.66,37.76,21.0,2.0
504,Bagnols-sur-Ceze,0,FR,1532561400,56,44.16,4.62,24.0,3.1
505,Yenagoa,92,NG,1532562640,97,4.92,6.26,22.94,3.12
506,Benghazi,40,LY,1532559600,78,32.12,20.07,25.0,3.77
507,Dobsina,20,SK,1532561400,87,48.82,20.37,20.0,1.5
508,Zolotukhino,64,RU,1532562641,95,52.08,36.38,19.44,3.47
509,Namibe,0,AO,1532562641,100,-15.19,12.15,18.69,1.37
510,Karlstad,0,SE,1532560800,72,59.38,13.5,18.0,3.1
511,Morondava,0,MG,1532562642,88,-20.3,44.28,19.89,2.52
512,Rovaniemi,0,FI,1532560800,68,66.5,25.72,19.0,3.1
513,Semey,12,KZ,1532562642,90,50.41,80.25,11.29,1.32
514,Tacuati,12,PY,1532562642,82,-23.46,-56.74,15.29,2.22
515,Nuoro,0,IT,1532560800,69,40.32,9.33,25.0,2.1
516,Derbent,0,RU,1532562643,82,42.06,48.29,17.89,1.17
517,Mitu,32,IR,1532562643,67,36.2,46.09,17.04,0.72
518,Mwingi,80,KE,1532562643,88,-0.93,38.07,15.74,4.22
519,Gondar,90,PT,1532561400,100,41.82,-8.78,18.0,2.1
520,Barra Patuca,68,HN,1532562644,89,15.8,-84.28,28.19,4.57
521,Illapel,0,CL,1532562644,100,-31.63,-71.17,6.89,1.07
522,Crawfordsville,0,US,1532561700,54,40.04,-86.9,29.0,2.6
523,Nalut,44,LY,1532562645,36,31.86,10.98,24.69,2.12
524,Mashhad,0,IR,1532559600,17,36.3,59.61,24.0,3.1
525,Springbok,8,ZA,1532562646,65,-29.67,17.88,7.04,1.42
526,San Antero,40,CO,1532559600,70,9.38,-75.76,30.0,2.77
527,Turinsk,32,RU,1532562646,69,58.04,63.7,18.19,1.62
528,Kuminskiy,24,RU,1532562646,70,58.67,66.57,19.74,1.42
529,Brodick,20,GB,1532560800,87,55.58,-5.15,14.0,2.1
530,Kawambwa,0,ZM,1532562647,67,-9.8,29.07,12.04,1.42
531,Chapais,75,CA,1532561700,83,49.78,-74.86,22.0,2.1
532,Sumter,1,US,1532560500,83,33.92,-80.34,28.0,2.6
533,Virovitica,8,HR,1532562648,80,45.83,17.39,18.69,1.22
534,Kavaratti,80,IN,1532562648,98,10.57,72.64,27.79,9.47
535,Wattegama,100,LK,1532562648,99,7.35,80.68,21.59,1.57
536,Santa Cruz,1,US,1532561700,31,36.97,-122.03,32.0,6.7
537,Miraflores,64,CO,1532562650,93,5.2,-73.14,11.44,0.82
538,Villa Maria,75,CO,1532559600,55,4.5,-74.09,21.0,4.6
539,Rabo de Peixe,40,PT,1532561400,88,37.8,-25.58,20.0,6.2
540,Manicore,36,BR,1532562651,36,-5.81,-61.3,31.39,1.62
541,Bam,0,IR,1532562651,18,29.11,58.36,21.99,2.32
542,Como,0,IT,1532560800,83,45.81,9.09,25.0,1.0
543,Sioux Lookout,75,CA,1532561340,87,50.1,-91.92,16.0,4.6
544,Khipro,36,PK,1532562652,73,25.83,69.38,27.74,7.92
545,Leshukonskoye,0,RU,1532562653,83,64.9,45.76,15.94,1.57
546,Nantucket,1,US,1532560500,100,41.28,-70.1,24.0,4.6
547,Grenville,90,CA,1532561220,94,45.62,-74.6,23.0,3.1
548,Lodwar,88,KE,1532562653,74,3.12,35.6,21.44,1.97
549,Ejea de los Caballeros,0,ES,1532561400,65,42.13,-1.14,27.0,4.6
550,Constantine,20,DZ,1532561400,38,36.36,6.61,23.0,0.5
551,Ivanava,12,BY,1532562654,95,52.14,25.53,19.14,3.17
552,Alakurtti,20,RU,1532562654,53,66.96,30.34,22.49,2.12
553,Solone,20,UA,1532559600,93,48.2,34.88,19.0,4.0
554,Oxelosund,0,SE,1532560800,88,58.67,17.1,21.0,1.5
555,Harnosand,0,SE,1532560800,88,62.63,17.94,19.0,1.5
556,Ukhta,48,RU,1532562655,71,63.56,53.68,16.79,1.07
557,Behbahan,0,IR,1532559600,16,30.59,50.24,33.0,0.57
558,Marzuq,48,YE,1532562656,60,14.4,46.47,20.99,0.77
559,Marathon,20,CA,1532562656,91,48.72,-86.38,12.19,1.42
560,Tucupita,32,VE,1532562656,74,9.06,-62.05,27.34,3.12
561,Antofagasta,90,CL,1532559600,76,-23.65,-70.4,13.0,3.1
562,Portobelo,75,PA,1532559600,94,9.55,-79.65,25.0,1.5
563,Prado,64,BR,1532562545,94,-17.34,-39.22,24.79,6.32
564,Hillsborough,90,US,1532562000,87,37.57,-122.38,37.0,5.1
565,Pascagoula,75,US,1532561700,62,30.37,-88.56,34.0,2.1
566,Jalu,0,LY,1532562657,51,29.03,21.55,25.19,4.82
567,Boden,32,SE,1532560800,88,65.83,21.69,20.0,3.1
568,Concepcion,56,CO,1532562658,97,9.56,-73.66,23.34,1.52
569,Korcula,20,HR,1532559600,56,42.96,17.14,23.0,2.1
570,Hlobyne,88,UA,1532562659,100,49.39,33.25,20.49,4.67
571,Kayerkan,48,RU,1532562659,92,69.35,87.76,7.99,7.27
572,Puerto Ayacucho,40,CO,1532559600,88,5.66,-67.63,25.0,2.6
573,Chimore,0,BO,1532562660,76,-16.98,-65.13,15.19,1.87
574,Sao Jose dos Campos,0,BR,1532559600,82,-23.18,-45.89,18.0,2.6
575,Muzhi,0,RU,1532562660,66,65.4,64.7,16.69,1.52
576,Irara,0,TL,1532562661,95,-8.52,127.01,26.44,3.82
577,Conceicao do Araguaia,0,BR,1532562661,41,-8.26,-49.26,26.74,2.77
578,Nokaneng,0,BW,1532562661,58,-19.66,22.19,9.04,2.07
579,Scarborough,12,GB,1532559000,100,54.28,-0.41,15.0,1.0
580,Vuktyl,20,RU,1532562662,64,63.86,57.31,17.39,1.32
581,Longonjo,0,AO,1532562662,75,-12.91,15.25,5.64,1.77
582,Durazno,92,UY,1532562662,98,-33.38,-56.52,12.44,7.02
583,Iguape,76,BR,1532562662,100,-24.7,-47.56,18.24,2.07
584,Garibaldi,92,BR,1532562663,96,-29.26,-51.53,15.04,1.17
585,Pedernales,24,EC,1532562663,77,0.07,-80.05,24.79,3.32
586,Campos,75,PT,1532561400,100,41.54,-8.28,18.0,3.1
587,Takab,88,IR,1532562664,31,36.4,47.11,23.54,1.62
588,Dekar,0,BW,1532562664,66,-21.53,21.93,5.19,1.32
589,Mgandu,44,TZ,1532562664,70,-5.96,34.11,14.34,4.82
590,Kanniyakumari,80,IN,1532562162,98,8.08,77.57,25.44,10.07
591,Lokosovo,20,RU,1532562665,57,61.13,74.84,17.89,4.72
592,San Martin,75,EC,1532559600,62,-0.3,-78.52,14.0,6.2
593,Semme,0,FR,1532561400,50,46.2,1.5,24.0,2.6
594,Saint-Paul,0,FR,1532561400,57,45.22,1.9,24.0,2.1
595,Olinda,0,EC,1532559600,69,-2.03,-79.75,26.0,3.6
596,Bar Harbor,90,US,1532559360,94,44.39,-68.2,22.0,5.1
597,Awbari,0,LY,1532562667,23,26.59,12.77,26.94,4.22
598,Ilembula,44,TZ,1532562667,99,-8.9,34.58,10.99,3.62
599,Valdivia,90,CL,1532559600,100,-39.81,-73.25,3.0,1.5
600,Bereznik,48,RU,1532562667,84,62.86,42.71,17.59,1.07
601,Pauini,12,BR,1532562668,50,-7.71,-67.0,28.44,2.77
602,Berwick,90,US,1532561280,100,41.06,-76.25,22.0,0.72
603,Bodden Town,20,KY,1532559600,74,19.28,-81.25,30.0,2.6
604,Corrente,0,BR,1532562668,59,-17.45,-44.68,16.44,3.02
605,Binika,92,IN,1532562669,97,21.03,83.8,24.24,4.22
606,Sargur,64,IN,1532562669,97,11.98,76.42,20.44,3.22
607,Eydhafushi,88,MV,1532562669,100,5.1,73.07,27.69,8.97
608,Khandbari,0,NP,1532562669,65,27.38,87.21,6.54,0.72
609,Birjand,0,IR,1532559600,12,32.86,59.22,25.0,5.1
610,Mahemdavad,75,IN,1532559600,83,22.82,72.75,27.0,3.6
611,Turukhansk,100,RU,1532562670,100,65.8,87.96,11.39,1.97
612,Comarapa,0,BO,1532562670,90,-17.91,-64.53,8.44,1.02
613,Media Luna,48,BO,1532559600,65,-21.67,-64.63,8.0,2.6
614,Puno,40,PE,1532559600,40,-15.84,-70.03,11.0,4.1
615,Koslan,0,RU,1532562671,89,63.46,48.9,13.84,1.72
616,Krasnozerskoye,8,RU,1532562672,83,53.98,79.24,12.89,3.07
617,Tanout,20,NE,1532562672,77,14.97,8.88,24.74,4.72
618,Vila do Maio,20,CV,1532559600,78,15.13,-23.22,25.0,4.1
619,Porto Velho,0,BR,1532559600,54,-8.75,-63.87,27.0,0.5
620,Alenquer,20,BR,1532559600,88,-1.95,-54.74,24.0,1.0
621,Katiola,92,CI,1532562673,97,8.14,-5.1,22.54,3.92
622,Dolores,100,AR,1532562673,79,-36.31,-57.68,8.54,5.12
623,Rio Claro,0,BR,1532559600,72,-22.41,-47.56,16.0,2.1
624,Najran,40,SA,1532559600,25,17.54,44.22,31.0,2.1
625,Ayagoz,0,KZ,1532562674,91,47.96,80.43,9.04,3.47
626,Shakawe,0,BW,1532562674,65,-18.36,21.84,7.44,1.32
627,Turbat,32,PK,1532562675,82,26.0,63.05,26.89,1.52
628,Kaduy,100,RU,1532562675,75,59.2,37.15,18.69,3.77
629,Stara Vyzhivka,56,UA,1532562675,93,51.44,24.44,19.69,4.07
630,Mayen,0,DE,1532560800,49,50.33,7.22,24.0,3.1
631,Galich,88,RU,1532562675,63,58.38,42.35,20.69,5.22
632,Englewood,40,US,1532561760,47,39.65,-104.99,26.0,4.02
633,Igunga,12,TZ,1532562676,66,-4.28,33.88,15.69,2.92
634,Kharp,0,RU,1532562676,68,66.82,65.8,13.94,2.77
635,Sahaspur,92,IN,1532562677,100,29.12,78.62,23.09,1.62
